title,bank,maxRate,baseRate,details
우리 WON 적금,우리은행,5.50%,2.00%,월 1만원부터 자유롭게 저축할 수 있는 적금 상품으로 높은 금리를 제공합니다.
우리 Super 주택청약종합저축,우리은행,5.30%,4.30%,주택 청약을 준비하는 고객을 위한 상품으로 정부 지원과 다양한 혜택이 포함됩니다.
우리 e-정기예금,우리은행,5.00%,2.00%,인터넷 뱅킹을 통해 간편하게 가입할 수 있는 정기 예금 상품입니다.
우리 스마트 정기적금,우리은행,4.60%,3.60%,스마트폰 앱으로 간편하게 관리할 수 있는 정기적금 상품으로 편리함과 높은 금리를 제공합니다.
우리은행 장병내일준비적금,우리은행,4.50%,3.10%,군인 대상의 방문 없이 가입 가능한 자유적금입니다.
우리 퍼스트 정기적금,우리은행,4.40%,3.20%,정기적금 상품으로 방문 없이 가입이 가능합니다.
우리미소드림적금,우리은행,4.20%,2.80%,자유롭게 저축할 수 있는 적금 상품으로 방문 없이 가입할 수 있습니다.
청년 주택드림 청약통장,우리은행,4.10%,3.30%,청년 대상의 주택 청약 준비를 위한 적금 상품입니다.
우리 아이행복 적금2,우리은행,4.00%,2.60%,아이를 위한 행복한 미래를 준비하는 적금 상품입니다.
우리 SUPER주거래 정기적금,우리은행,4.00%,2.90%,우리은행 고객을 위한 주거래 정기적금 상품입니다.
우리 으쓱(ESG) 적금,우리은행,3.90%,3.70%,ESG 요소를 고려한 으쓱 적금 상품입니다.
우리 SUPER주거래 자유적금,우리은행,3.05%,2.55%,우리은행의 SUPER주거래 자유적금 상품입니다.
첫급여 우리적금,우리은행,2.90%,2.60%,첫 급여를 기념하는 특별 적금 상품입니다.
WON 적금,우리은행,2.85%,2.85%,우리은행의 기본적인 WON 적금 상품입니다.
마이스타일(My Style)자유적금,우리은행,2.80%,2.80%,개인의 스타일에 맞게 저축할 수 있는 자유적금 상품입니다.
우리자유적금,우리은행,2.60%,2.60%,우리은행의 전통적인 자유적금 상품입니다.
정기적금,우리은행,2.55%,2.55%,기본적인 정기적금 상품입니다.
우리아이행복 주택청약종합저축,우리은행,2.85%,2.85%,아이들의 행복한 미래를 위한 주택청약종합저축입니다.
주택청약종합저축,우리은행,2.80%,2.80%,주택청약을 준비하는 고객을 위한 종합 저축 상품입니다.
